[CAT=list]	Statystyki kobiet w Pucharze Świata w biathlonie 2012/2013	Statystyki mężczyzn w Pucharze Świata w biathlonie 2012/2013	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – bieg na 60 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – bieg na 60 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – bieg na 60 m przez płotki kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – bieg na 60 m przez płotki mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – bieg na 800 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – bieg na 800 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – pchnięcie kulą kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – pchnięcie kulą mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – skok o tyczce kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – skok o tyczce mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – skok w dal kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – skok w dal mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – skok wzwyż kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – skok wzwyż mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – sztafeta 4 × 400 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – sztafeta 4 × 400 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – trójskok kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2010 – trójskok mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 1500 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 1500 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 3000 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 3000 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 400 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 400 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 60 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 60 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 60 m przez płotki kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 60 m przez płotki mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 800 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – bieg na 800 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – pchnięcie kulą kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – pchnięcie kulą mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – skok o tyczce kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – skok o tyczce mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – skok w dal kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – skok w dal mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – skok wzwyż kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – skok wzwyż mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – sztafeta 4 × 400 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – sztafeta 4 × 400 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – trójskok kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2012 – trójskok mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 1500 metrów kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 1500 metrów mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 3000 metrów kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 3000 metrów mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 400 metrów kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 400 metrów mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 60 metrów kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 60 metrów mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 60 metrów przez płotki kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 60 metrów przez płotki mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 800 metrów kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – bieg na 800 metrów mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – pchnięcie kulą kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – pchnięcie kulą mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – skok o tyczce kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – skok o tyczce mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – skok w dal kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – skok w dal mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – skok wzwyż kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – skok wzwyż mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – sztafeta 4 × 400 metrów kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – sztafeta 4 × 400 metrów mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – trójskok kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – trójskok mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 1500 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 1500 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 3000 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 3000 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 400 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 400 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 60 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 60 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 60 m przez płotki kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 60 m przez płotki mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 800 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – bieg na 800 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – pchnięcie kulą kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – pchnięcie kulą mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – skok o tyczce kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – skok o tyczce mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – skok w dal kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – skok w dal mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – skok wzwyż kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – skok wzwyż mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – sztafeta 4 × 400 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – sztafeta 4 × 400 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – trójskok kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2016 – trójskok mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 1500 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 1500 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 3000 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 3000 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 400 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 400 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 60 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 60 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 60 m przez płotki kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 60 m przez płotki mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 800 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – bieg na 800 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – pchnięcie kulą kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – pchnięcie kulą mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – skok o tyczce kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – skok o tyczce mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – skok w dal kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – skok w dal mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – skok wzwyż kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – skok wzwyż mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – sztafeta 4 × 400 m kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – sztafeta 4 × 400 m mężczyzn	None
[CAT=sport]	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – trójskok kobiet	Halowe Mistrzostwa Świata w Lekkoatletyce 2018 – trójskok mężczyzn	None
[CAT=sport]	Halowe mistrzostwa Polski w hokeju na trawie kobiet	Halowe mistrzostwa Polski w hokeju na trawie mężczyzn	None
[CAT=sport]	Historia reprezentacji Polski w piłce siatkowej kobiet	Historia reprezentacji Polski w piłce siatkowej mężczyzn	None
[CAT=sport]	Hokej na lodzie na Zimowej Uniwersjadzie 2013 – turniej kobiet	Hokej na lodzie na Zimowej Uniwersjadzie 2013 – turniej mężczyzn	None
[CAT=sport]	Hokej na lodzie na Zimowej Uniwersjadzie 2015 – turniej kobiet	Hokej na lodzie na Zimowej Uniwersjadzie 2015 – turniej mężczyzn	None
[CAT=sport]	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2010 – turniej kobiet	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2010 – turniej mężczyzn	None
[CAT=sport]	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2014 – kwalifikacje kobiet	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2014 – kwalifikacje mężczyzn	None
[CAT=sport]	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2014 – turniej kobiet	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2014 – turniej mężczyzn	None
[CAT=sport]	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2018 – kwalifikacje kobiet	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2018 – kwalifikacje mężczyzn	None
[CAT=sport]	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2018 – turniej kobiet	Hokej na lodzie na Zimowych Igrzyskach Olimpijskich 2018 – turniej mężczyzn	None
[CAT=sport]	Hokej na trawie na Letnich Igrzyskach Olimpijskich 2016 – kobiety	Hokej na trawie na Letnich Igrzyskach Olimpijskich 2016 – mężczyźni	None
[CAT=sport]	I liga polska w koszykówce kobiet	I liga polska w koszykówce mężczyzn	None
[CAT=sport]	I liga polska w piłce ręcznej kobiet	I liga polska w piłce ręcznej mężczyzn	None
[CAT=sport]	I liga polska w piłce ręcznej kobiet (2016/2017)	I liga polska w piłce ręcznej mężczyzn (2016/2017)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet	I liga polska w piłce siatkowej mężczyzn	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1957/1958)	I liga polska w piłce siatkowej mężczyzn (1957/1958)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1958/1959)	I liga polska w piłce siatkowej mężczyzn (1958/1959)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1959/1960)	I liga polska w piłce siatkowej mężczyzn (1959/1960)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1960/1961)	I liga polska w piłce siatkowej mężczyzn (1960/1961)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1961/1962)	I liga polska w piłce siatkowej mężczyzn (1961/1962)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1962/1963)	I liga polska w piłce siatkowej mężczyzn (1962/1963)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1963/1964)	I liga polska w piłce siatkowej mężczyzn (1963/1964)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1964/1965)	I liga polska w piłce siatkowej mężczyzn (1964/1965)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1965/1966)	I liga polska w piłce siatkowej mężczyzn (1965/1966)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1966/1967)	I liga polska w piłce siatkowej mężczyzn (1966/1967)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1967/1968)	I liga polska w piłce siatkowej mężczyzn (1967/1968)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1968/1969)	I liga polska w piłce siatkowej mężczyzn (1968/1969)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1969/1970)	I liga polska w piłce siatkowej mężczyzn (1969/1970)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1970/1971)	I liga polska w piłce siatkowej mężczyzn (1970/1971)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1971/1972)	I liga polska w piłce siatkowej mężczyzn (1971/1972)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1972/1973)	I liga polska w piłce siatkowej mężczyzn (1972/1973)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1973/1974)	I liga polska w piłce siatkowej mężczyzn (1973/1974)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1974/1975)	I liga polska w piłce siatkowej mężczyzn (1974/1975)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1975/1976)	I liga polska w piłce siatkowej mężczyzn (1975/1976)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1976/1977)	I liga polska w piłce siatkowej mężczyzn (1976/1977)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1977/1978)	I liga polska w piłce siatkowej mężczyzn (1977/1978)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1978/1979)	I liga polska w piłce siatkowej mężczyzn (1978/1979)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1979/1980)	I liga polska w piłce siatkowej mężczyzn (1979/1980)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1980/1981)	I liga polska w piłce siatkowej mężczyzn (1980/1981)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1981/1982)	I liga polska w piłce siatkowej mężczyzn (1981/1982)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1982/1983)	I liga polska w piłce siatkowej mężczyzn (1982/1983)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1983/1984)	I liga polska w piłce siatkowej mężczyzn (1983/1984)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1984/1985)	I liga polska w piłce siatkowej mężczyzn (1984/1985)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1985/1986)	I liga polska w piłce siatkowej mężczyzn (1985/1986)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1986/1987)	I liga polska w piłce siatkowej mężczyzn (1986/1987)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1987/1988)	I liga polska w piłce siatkowej mężczyzn (1987/1988)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1988/1989)	I liga polska w piłce siatkowej mężczyzn (1988/1989)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (1989/1990)	I liga polska w piłce siatkowej mężczyzn (1989/1990)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2005/2006)	I liga polska w piłce siatkowej mężczyzn (2005/2006)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2006/2007)	I liga polska w piłce siatkowej mężczyzn (2006/2007)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2007/2008)	I liga polska w piłce siatkowej mężczyzn (2007/2008)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2008/2009)	I liga polska w piłce siatkowej mężczyzn (2008/2009)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2009/2010)	I liga polska w piłce siatkowej mężczyzn (2009/2010)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2010/2011)	I liga polska w piłce siatkowej mężczyzn (2010/2011)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2011/2012)	I liga polska w piłce siatkowej mężczyzn (2011/2012)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2012/2013)	I liga polska w piłce siatkowej mężczyzn (2012/2013)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2013/2014)	I liga polska w piłce siatkowej mężczyzn (2013/2014)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2014/2015)	I liga polska w piłce siatkowej mężczyzn (2014/2015)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2015/2016)	I liga polska w piłce siatkowej mężczyzn (2015/2016)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2016/2017)	I liga polska w piłce siatkowej mężczyzn (2016/2017)	None
[CAT=sport]	I liga polska w piłce siatkowej kobiet (2017/2018)	I liga polska w piłce siatkowej mężczyzn (2017/2018)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1990/1991)	I liga seria A polska w piłce siatkowej mężczyzn (1990/1991)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1991/1992)	I liga seria A polska w piłce siatkowej mężczyzn (1991/1992)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1992/1993)	I liga seria A polska w piłce siatkowej mężczyzn (1992/1993)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1993/1994)	I liga seria A polska w piłce siatkowej mężczyzn (1993/1994)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1994/1995)	I liga seria A polska w piłce siatkowej mężczyzn (1994/1995)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1995/1996)	I liga seria A polska w piłce siatkowej mężczyzn (1995/1996)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1996/1997)	I liga seria A polska w piłce siatkowej mężczyzn (1996/1997)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1997/1998)	I liga seria A polska w piłce siatkowej mężczyzn (1997/1998)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1998/1999)	I liga seria A polska w piłce siatkowej mężczyzn (1998/1999)	None
[CAT=sport]	I liga seria A polska w piłce siatkowej kobiet (1999/2000)	I liga seria A polska w piłce siatkowej mężczyzn (1999/2000)	None
[CAT=sport]	I liga seria B polska w piłce siatkowej kobiet (2003/2004)	I liga seria B polska w piłce siatkowej mężczyzn (2003/2004)	None
[CAT=sport]	I liga seria B polska w piłce siatkowej kobiet (2004/2005)	I liga seria B polska w piłce siatkowej mężczyzn (2004/2005)	None
[CAT=sport]	II liga polska w piłce ręcznej kobiet	II liga polska w piłce ręcznej mężczyzn	None
[CAT=sport]	II liga polska w piłce siatkowej kobiet	II liga polska w piłce siatkowej mężczyzn	None
[CAT=sport]	II liga polska w piłce siatkowej kobiet (2014/2015)	II liga polska w piłce siatkowej mężczyzn (2014/2015)	None
[CAT=sport]	III liga polska w piłce siatkowej kobiet	III liga polska w piłce siatkowej mężczyzn	None
[CAT=sport]	IV liga polska w piłce siatkowej kobiet	IV liga polska w piłce siatkowej mężczyzn	None
[CAT=sport]	Interkontynentalne turnieje kwalifikacyjne w piłce siatkowej kobiet do Letnich Igrzysk Olimpijskich 2020	Interkontynentalne turnieje kwalifikacyjne w piłce siatkowej mężczyzn do Letnich Igrzysk Olimpijskich 2020	None
[CAT=sport]	Internazionali BNL d’Italia 2007 (kobiety)	Internazionali BNL d’Italia 2007 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2008 (kobiety)	Internazionali BNL d’Italia 2008 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2009 (kobiety)	Internazionali BNL d’Italia 2009 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2010 (kobiety)	Internazionali BNL d’Italia 2010 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2011 (kobiety)	Internazionali BNL d’Italia 2011 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2012 (kobiety)	Internazionali BNL d’Italia 2012 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2013 (kobiety)	Internazionali BNL d’Italia 2013 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2014 (kobiety)	Internazionali BNL d’Italia 2014 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2015 (kobiety)	Internazionali BNL d’Italia 2015 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2016 (kobiety)	Internazionali BNL d’Italia 2016 (mężczyźni)	None
[CAT=sport]	Internazionali BNL d’Italia 2017 (kobiety)	Internazionali BNL d’Italia 2017 (mężczyźni)	None
[CAT=sport]	Internazionali d’Italia 2006 (kobiety)	Internazionali d’Italia 2006 (mężczyźni)	None
[CAT=sport]	Internazionali d’Italia 2018 (kobiety)	Internazionali d’Italia 2018 (mężczyźni)	None
[CAT=sport]	Internazionali d’Italia 2019 (kobiety)	Internazionali d’Italia 2019 (mężczyźni)	None
[CAT=sport]	Internazionali d’Italia 2020 (kobiety)	Internazionali d’Italia 2020 (mężczyźni)	None
[CAT=sport]	Iraklis Saloniki (piłka siatkowa kobiet)	Iraklis Saloniki (piłka siatkowa mężczyzn)	None
[CAT=sport]	Kajakarstwo górskie na Letnich Igrzyskach Olimpijskich 2008 – K-1 kobiet	Kajakarstwo górskie na Letnich Igrzyskach Olimpijskich 2008 – K-1 mężczyzn	None
[CAT=sport]	Kajakarstwo klasyczne na Letnich Igrzyskach Olimpijskich 2008 – K-1 500 m kobiet	Kajakarstwo klasyczne na Letnich Igrzyskach Olimpijskich 2008 – K-1 500 m mężczyzn	None
[CAT=sport]	Kajakarstwo klasyczne na Letnich Igrzyskach Olimpijskich 2008 – K-2 500 m kobiet	Kajakarstwo klasyczne na Letnich Igrzyskach Olimpijskich 2008 – K-2 500 m mężczyzn	None
[CAT=sport]	Kajakarstwo na Letnich Igrzyskach Olimpijskich 2012 – K-1 200 m kobiet	Kajakarstwo na Letnich Igrzyskach Olimpijskich 2012 – K-1 200 m mężczyzn	None
[CAT=sport]	Kajakarstwo na Letnich Igrzyskach Olimpijskich 2012 – K-1 kobiet	Kajakarstwo na Letnich Igrzyskach Olimpijskich 2012 – K-1 mężczyzn	None
[CAT=sport]	Kajakarstwo na Letnich Igrzyskach Olimpijskich 2016 – K-1 200 m kobiet	Kajakarstwo na Letnich Igrzyskach Olimpijskich 2016 – K-1 200 m mężczyzn	None
[CAT=sport]	Kajakarstwo na Letnich Igrzyskach Olimpijskich 2016 – K-1 kobiet	Kajakarstwo na Letnich Igrzyskach Olimpijskich 2016 – K-1 mężczyzn	None
[CAT=sport]	Klasa wydzielona w piłce siatkowej kobiet (1954)	Klasa wydzielona w piłce siatkowej mężczyzn (1954)	None
[CAT=sport]	Klasa wydzielona w piłce siatkowej kobiet (1955)	Klasa wydzielona w piłce siatkowej mężczyzn (1955)	None
[CAT=sport]	Klasa wydzielona w piłce siatkowej kobiet (1956)	Klasa wydzielona w piłce siatkowej mężczyzn (1956)	None
[CAT=sport]	Klasa wydzielona w piłce siatkowej kobiet (1957)	Klasa wydzielona w piłce siatkowej mężczyzn (1957)	None
[CAT=sport]	Klubowe Mistrzostwa Azji w piłce siatkowej kobiet	Klubowe Mistrzostwa Azji w piłce siatkowej mężczyzn	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 1991	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 1991	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 1992	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 1992	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 2010	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 2010	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 2011	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 2011	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 2012	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 2012	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 2013	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 2013	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 2014	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 2014	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 2015	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 2015	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 2016	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 2016	None
[CAT=sport]	Klubowe Mistrzostwa Świata w piłce siatkowej kobiet 2017	Klubowe Mistrzostwa Świata w piłce siatkowej mężczyzn 2017	None
